"player_id","player","week","position","stock_value","stock_change","last_game_delta","avg_epa","yards","tds","espnId"
"4360405","Jake Bobo","7","WR","0.0","0.0","0.0","0.0","0.0","0","4360405"
"4426385","Zach Charbonnet","7","RB","0.0","0.0","0.0","0.0","0.0","0","4426385"
"4429835","George Holani","7","RB","0.0","0.0","0.0","0.0","0.0","0","4429835"
"4597703","Tory Horton","7","WR","0.0","0.0","0.0","0.0","0.0","0","4597703"
"4569547","Nick Kallerup","7","TE","0.0","0.0","0.0","0.0","0.0","0","4569547"
"4432734","Jalen Milroe","7","QB","0.0","0.0","0.0","0.0","0.0","0","4432734"
"2975863","Eric Saubert","7","TE","0.0","0.0","0.0","0.0","0.0","0","2975863"
"4430878","Jaxon Smith-Njigba","7","WR","0.0","0.0","0.0","0.0","0.0","0","4430878"
"4567048","Kenneth Walker III","7","RB","0.0","0.0","0.0","0.0","0.0","0","4567048"
"4401805","Dareke Young","7","WR","0.0","0.0","0.0","0.0","0.0","0","4401805"
"4427391","Kenny McIntosh","7","RB","0.0","0.0","0.0","0.0","0.0","0","4427391"
"4429313","Tyrone Broden","7","WR","0.0","0.0","0.0","0.0","0.0","0","4429313"
"4565172","Courtney Jackson","7","WR","0.0","0.0","0.0","0.0","0.0","0","4565172"
"4035693","Velus Jones Jr.","7","RB","0.0","0.0","0.0","0.0","0.0","0","4035693"
"4241983","Cody White","7","WR","0.0","0.0","0.0","0.0","0.0","0","4241983"
"4431479","Ricky White III","7","WR","0.0","0.0","0.0","0.0","0.0","0","4431479"
"4428943","Jacardia Wright","7","RB","0.0","0.0","0.0","0.0","0.0","0","4428943"
"16728","Teddy Bridgewater","7","QB","0.0","0.0","0.0","0.0","0.0","0","16728"
"4361112","Devin Culp","7","TE","0.0","0.0","0.0","0.0","0.0","0","4361112"
"4372505","Payne Durham","7","TE","0.0","0.0","0.0","0.0","0.0","0","4372505"
"4567750","Emeka Egbuka","7","WR","0.0","0.0","0.0","0.0","0.0","0","4567750"
"3116165","Chris Godwin Jr.","7","WR","0.0","0.0","0.0","0.0","0.0","0","3116165"
"4596448","Bucky Irving","7","RB","0.0","0.0","0.0","0.0","0.0","0","4596448"
"5097554","Kameron Johnson","7","WR","0.0","0.0","0.0","0.0","0.0","0","5097554"
"4608810","Tez Johnson","7","WR","0.0","0.0","0.0","0.0","0.0","0","4608810"
"4369466","Ryan Miller","7","WR","0.0","0.0","0.0","0.0","0.0","0","4369466"
"4243331","Cade Otton","7","TE","0.0","0.0","0.0","0.0","0.0","0","4243331"
"2976592","Sterling Shepard","7","WR","0.0","0.0","0.0","0.0","0.0","0","2976592"
"4430871","Sean Tucker","7","RB","0.0","0.0","0.0","0.0","0.0","0","4430871"
"4697815","Rachaad White","7","RB","0.0","0.0","0.0","0.0","0.0","0","4697815"
"4568024","Josh Williams","7","RB","0.0","0.0","0.0","0.0","0.0","0","4568024"
