playerId,week,price,score,expectation_gap,momentum,price_change_pct
3116365,5,166.94,6.4,-0.609756,-0.116997,-0.2
2971573,5,93.71,1.2,0.2,0.093758,0.157503
4586312,5,76.8,18.8,10.28,-0.2,0.2
4258173,5,297.19,28.8,0.17551,-0.064246,0.079608
4360939,5,123.38,1.2,-0.896552,-0.200021,-0.2
4241263,5,80.0,2.8,-0.5625,-0.07,-0.2
4360238,5,120.0,4.2,2.0,-0.07,0.2
15795,5,100.9,10.8,-0.19403,-0.2,-0.196418
4038441,5,238.28,3.6,-0.801105,0.199992,-0.2
2972515,5,144.0,43.8,4.918919,0.327492,0.2
3128720,5,187.02,25.8,0.554217,-0.199085,0.2
4596334,5,97.2,3.4,0.0,-0.07,-0.028
4361050,5,97.2,3.2,0.0,-0.07,-0.028
3043078,5,92.4,20.2,-0.249071,-0.199972,-0.2
3895856,5,93.31,16.0,0.975309,-0.2,0.2
4429615,5,93.96,18.4,-0.250509,-0.196319,-0.2
4686422,5,118.3,32.4,3.729927,-0.200032,0.2
4877706,5,150.07,9.6,0.084746,0.200036,0.130862
4432577,5,432.31,118.4,0.66526,0.199987,0.2
4242546,5,97.2,6.8,0.0,-0.07,-0.028
4429059,5,218.58,5.2,-0.718157,0.200018,-0.2
4373273,5,97.2,3.0,0.0,-0.07,-0.028
4040774,5,120.0,2.2,4.5,-0.07,0.2
4697745,5,94.62,0.8,0.142857,0.039956,0.101697
4688813,5,275.27,16.4,0.754011,-0.07291,0.2
4035687,5,219.7,25.4,-0.045113,0.090795,0.00925
4874509,5,120.0,4.8,0.565217,-0.07,0.2
15864,5,166.98,61.6,-0.260504,-0.105164,-0.198368
3919510,5,120.0,2.6,5.5,-0.07,0.2
2576336,5,97.2,14.4,0.0,-0.07,-0.028
2576414,5,77.76,4.4,-0.714286,0.014625,-0.2
